city,variable,lead_days,model,mae,rmse,bias,n
Chennai,rainfall,2,gfs,0.1727,0.6195,0.1443,1008
Chennai,rainfall,2,icon,0.1937,0.6567,0.1153,1008
Chennai,rainfall,3,ecmwf,0.2513,0.6664,-0.0096,1008
Chennai,rainfall,3,gem,0.204,0.6932,0.0718,1008
Chennai,rainfall,3,gfs,0.1693,0.6093,0.1517,1008
Chennai,rainfall,3,icon,0.1903,0.6329,0.1141,1008
Chennai,temperature,1,ecmwf,1.249,1.6003,0.7512,1008
Chennai,temperature,1,gem,1.5575,1.9949,1.1869,1008
Chennai,temperature,1,gfs,2.1564,2.5804,-2.0844,1008
Chennai,temperature,1,icon,1.1961,1.696,-0.4729,1008
Chennai,temperature,2,ecmwf,1.2369,1.6137,0.6212,1008
Chennai,temperature,2,gem,1.5019,1.9994,0.9938,1008
Chennai,temperature,2,gfs,2.1403,2.5762,-2.0216,1008
Chennai,temperature,2,icon,1.2819,1.8045,-0.5595,1008
Chennai,temperature,3,ecmwf,1.3831,1.7637,0.7907,1008
Chennai,temperature,3,gem,1.4567,1.9805,0.9381,1008
Chennai,temperature,3,gfs,2.0698,2.5096,-1.9698,1008
Chennai,temperature,3,icon,1.4067,1.9543,-0.6639,1008
Chennai,wind_speed,1,ecmwf,3.2298,4.2072,-1.0216,1008
Chennai,wind_speed,1,gem,5.5653,6.8822,-4.1288,1008
Chennai,wind_speed,1,gfs,7.9706,9.1489,-7.4032,1008
Chennai,wind_speed,1,icon,3.9947,4.9139,3.1059,1008
Chennai,wind_speed,2,ecmwf,3.3479,4.3316,-1.6051,1008
Chennai,wind_speed,2,gem,6.1104,7.5069,-4.4848,1008
Chennai,wind_speed,2,gfs,7.6475,8.9868,-7.1854,1008
Chennai,wind_speed,2,icon,4.1057,5.0692,3.1438,1008
Chennai,wind_speed,3,ecmwf,3.5703,4.5899,-1.6088,1008
Chennai,wind_speed,3,gem,6.1602,7.6038,-4.6249,1008
Chennai,wind_speed,3,gfs,7.3938,8.7071,-6.7726,1008
Chennai,wind_speed,3,icon,4.1701,5.1124,3.1995,1008
Coimbatore,rainfall,1,ecmwf,0.1717,0.585,0.0693,1008
Coimbatore,rainfall,1,gem,0.2051,0.6531,0.1422,1008
Coimbatore,rainfall,1,gfs,0.1948,0.6565,0.1573,1008
Coimbatore,rainfall,1,icon,0.1838,0.6544,0.1773,1008
Coimbatore,rainfall,2,ecmwf,0.2077,0.6792,0.0411,1008
Coimbatore,rainfall,2,gem,0.2099,0.6507,0.1371,1008
Coimbatore,rainfall,2,gfs,0.1965,0.6595,0.1616,1008
Coimbatore,rainfall,2,icon,0.1868,0.6575,0.1662,1008
Coimbatore,rainfall,3,ecmwf,0.1863,0.6065,0.0661,1008
Coimbatore,rainfall,3,gem,0.218,0.6548,0.1295,1008
Coimbatore,rainfall,3,gfs,0.1844,0.6465,0.1632,1008
Coimbatore,rainfall,3,icon,0.1825,0.6537,0.176,1008
Coimbatore,temperature,1,ecmwf,0.8085,1.0142,0.551,1008
Coimbatore,temperature,1,gem,0.7874,1.109,-0.0783,1008
Coimbatore,temperature,1,gfs,0.9123,1.3154,-0.4077,1008
Coimbatore,temperature,1,icon,0.9447,1.1674,-0.768,1008
Coimbatore,temperature,2,ecmwf,0.8213,1.0459,0.4511,1008
Coimbatore,temperature,2,gem,0.7644,1.058,0.0265,1008
Coimbatore,temperature,2,gfs,1.0707,1.5343,-0.4495,1008
Coimbatore,temperature,2,icon,0.9603,1.2054,-0.8097,1008
Coimbatore,temperature,3,ecmwf,0.875,1.0872,0.5542,1008
Coimbatore,temperature,3,gem,0.7919,1.117,0.0224,1008
Coimbatore,temperature,3,gfs,1.1684,1.6148,-0.4936,1008
Coimbatore,temperature,3,icon,0.9397,1.1875,-0.823,1008
Coimbatore,wind_speed,1,ecmwf,1.7224,2.2067,-1.0133,1008
Coimbatore,wind_speed,1,gem,7.8406,8.3436,-7.8314,1008
Coimbatore,wind_speed,1,gfs,3.5526,4.1917,-3.1254,1008
Coimbatore,wind_speed,1,icon,2.8539,3.4285,0.3832,1008
Coimbatore,wind_speed,2,ecmwf,1.9512,2.5237,-1.0446,1008
Coimbatore,wind_speed,2,gem,8.315,8.8116,-8.3112,1008
Coimbatore,wind_speed,2,gfs,3.6391,4.2781,-3.1724,1008
Coimbatore,wind_speed,2,icon,3.0071,3.6226,0.456,1008
Coimbatore,wind_speed,3,ecmwf,2.1031,2.6745,-1.2574,1008
Coimbatore,wind_speed,3,gem,8.275,8.8262,-8.2585,1008
Coimbatore,wind_speed,3,gfs,3.3996,4.013,-2.6448,1008
Coimbatore,wind_speed,3,icon,3.1245,3.7363,0.5303,1008
Dehradun,rainfall,1,ecmwf,0.6468,1.283,-0.0375,1008
Dehradun,rainfall,1,gem,1.032,2.0444,-0.4624,1008
Dehradun,rainfall,1,gfs,0.8056,1.3802,-0.1891,1008
Dehradun,rainfall,1,icon,0.7446,1.9479,-0.0333,1008
Dehradun,rainfall,2,ecmwf,0.6918,1.3118,-0.1217,1008
Dehradun,rainfall,2,gem,0.997,2.0276,-0.3833,1008
Dehradun,rainfall,2,gfs,0.7997,1.3463,-0.237,1008
Dehradun,rainfall,2,icon,0.6574,1.3956,0.0316,1008
Dehradun,rainfall,3,ecmwf,0.7905,1.5539,-0.1833,1008
Dehradun,rainfall,3,gem,0.796,1.5786,-0.0696,1008
Dehradun,rainfall,3,gfs,0.8501,1.5142,-0.2695,1008
Dehradun,rainfall,3,icon,0.6598,1.3645,0.0735,1008
Dehradun,temperature,1,ecmwf,0.9035,1.1588,0.4053,1008
